Drone ID,Time,Speed m/s,Conditions of Traffic
6043,"2011-03-22 08:08:03",Infinity,HEAVY
6043,"2011-03-22 08:08:03",Infinity,HEAVY
6043,"2011-03-22 08:08:03",Infinity,LIGHT
6043,"2011-03-22 08:08:03",Infinity,LIGHT
6043,"2011-03-22 08:08:03",Infinity,MODERATE
6043,"2011-03-22 08:08:03",Infinity,MODERATE
6043,"2011-03-22 08:08:05",15.501219360864459,LIGHT
6043,"2011-03-22 08:08:05",Infinity,MODERATE
6043,"2011-03-22 08:08:05",Infinity,LIGHT
6043,"2011-03-22 08:08:06",9.520107946908787,MODERATE
6043,"2011-03-22 08:08:06",Infinity,MODERATE
6043,"2011-03-22 08:08:06",Infinity,HEAVY
6043,"2011-03-22 08:08:06",Infinity,HEAVY
6043,"2011-03-22 08:08:06",Infinity,LIGHT
6043,"2011-03-22 08:08:06",Infinity,LIGHT
6043,"2011-03-22 08:08:06",Infinity,MODERATE
6043,"2011-03-22 08:08:06",Infinity,MODERATE
6043,"2011-03-22 08:08:06",Infinity,MODERATE
6043,"2011-03-22 08:08:06",Infinity,MODERATE
6043,"2011-03-22 08:08:07",20.41566108082683,MODERATE
6043,"2011-03-22 08:08:07",Infinity,MODERATE
6043,"2011-03-22 08:08:07",Infinity,LIGHT
6043,"2011-03-22 08:08:07",Infinity,MODERATE
6043,"2011-03-22 08:08:07",Infinity,LIGHT
6043,"2011-03-22 08:08:07",Infinity,LIGHT
6043,"2011-03-22 08:08:07",Infinity,HEAVY
6043,"2011-03-22 08:08:09",4.780530639776098,HEAVY
6043,"2011-03-22 08:08:09",Infinity,LIGHT
6043,"2011-03-22 08:08:09",Infinity,HEAVY
6043,"2011-03-22 08:08:10",9.617413631387075,MODERATE
6043,"2011-03-22 08:08:11",9.302238085351963,HEAVY
6043,"2011-03-22 08:08:12",9.86480395155397,LIGHT
6043,"2011-03-22 08:08:13",9.371568045244725,MODERATE
6043,"2011-03-22 08:08:14",9.626115622244317,LIGHT
6043,"2011-03-22 08:08:15",9.626110306365476,HEAVY
6043,"2011-03-22 08:08:16",9.233042616745422,MODERATE
6043,"2011-03-22 08:08:17",9.502155416491048,LIGHT
6043,"2011-03-22 08:08:18",9.062611723324098,HEAVY
6043,"2011-03-22 08:08:19",8.979783070600128,HEAVY
6043,"2011-03-22 08:08:20",8.938882634055654,LIGHT
6043,"2011-03-22 08:08:21",8.541001931627699,MODERATE
6043,"2011-03-22 08:08:22",8.499117818460828,LIGHT
6043,"2011-03-22 08:08:23",9.093725626925314,LIGHT
6043,"2011-03-22 08:08:24",8.499109080380569,HEAVY
6043,"2011-03-22 08:08:25",8.979756625216385,MODERATE
6043,"2011-03-22 08:08:26",8.625794885469865,MODERATE
6043,"2011-03-22 08:08:29",2.8942071657471047,HEAVY
6043,"2011-03-22 08:08:29",Infinity,LIGHT
6043,"2011-03-22 08:08:29",Infinity,LIGHT
6043,"2011-03-22 08:08:36",9.939532948680464,LIGHT
6043,"2011-03-22 08:08:37",9.565312429720818,HEAVY
6043,"2011-03-22 08:08:38",9.314032139935204,HEAVY
6043,"2011-03-22 08:08:39",9.359712734075762,HEAVY
6043,"2011-03-22 08:08:40",8.885361121587067,LIGHT
6043,"2011-03-22 08:08:42",8.270663035559421,HEAVY
6043,"2011-03-22 08:08:42",Infinity,LIGHT
6043,"2011-03-22 08:08:43",16.04550534605348,HEAVY
6043,"2011-03-22 08:08:44",7.620229783865843,HEAVY
6043,"2011-03-22 08:08:45",6.914256347384852,HEAVY
6043,"2011-03-22 08:08:46",7.2275165344827474,MODERATE
6043,"2011-03-22 08:08:55",0.868944448082905,LIGHT
6043,"2011-03-22 08:08:56",7.235771611252279,MODERATE
6043,"2011-03-22 08:08:56",Infinity,HEAVY
6043,"2011-03-22 08:08:56",Infinity,LIGHT
6043,"2011-03-22 08:08:56",Infinity,MODERATE
6043,"2011-03-22 08:08:56",Infinity,HEAVY
6043,"2011-03-22 08:08:56",Infinity,HEAVY
6043,"2011-03-22 08:08:56",Infinity,HEAVY
6043,"2011-03-22 08:08:56",Infinity,HEAVY
6043,"2011-03-22 08:08:57",19.766900818923318,MODERATE
6043,"2011-03-22 08:08:57",Infinity,MODERATE
6043,"2011-03-22 08:08:58",4.410593552807677,LIGHT
6043,"2011-03-22 08:08:59",4.155650342929341,MODERATE
6043,"2011-03-22 08:09:04",2.126677150330163,HEAVY
6043,"2011-03-22 08:09:08",2.6423983860605578,MODERATE
6043,"2011-03-22 08:09:09",3.670033194829587,LIGHT
6043,"2011-03-22 08:09:10",3.838035713437392,MODERATE
6043,"2011-03-22 08:09:11",4.282772974166646,HEAVY
6043,"2011-03-22 08:09:12",4.262316898460425,LIGHT
6043,"2011-03-22 08:09:13",5.356023237049181,HEAVY
6043,"2011-03-22 08:09:14",6.70815863136247,LIGHT
6043,"2011-03-22 08:09:15",6.984089862443876,HEAVY
6043,"2011-03-22 08:09:16",7.567329840004824,LIGHT
6043,"2011-03-22 08:09:17",9.020640256047521,MODERATE
6043,"2011-03-22 08:09:18",9.352972642315637,MODERATE
6043,"2011-03-22 08:09:19",10.051503998869139,HEAVY
6043,"2011-03-22 08:09:20",10.221289825903082,HEAVY
6043,"2011-03-22 08:09:21",10.254561867644718,HEAVY
6043,"2011-03-22 08:09:22",10.051491134784131,HEAVY
6043,"2011-03-22 08:09:23",9.944925770409213,LIGHT
6043,"2011-03-22 08:09:24",10.020398444332375,LIGHT
6043,"2011-03-22 08:09:25",10.051476583296678,HEAVY
6043,"2011-03-22 08:09:26",10.525569631211843,HEAVY
6043,"2011-03-22 08:09:28",5.256851422820083,HEAVY
6043,"2011-03-22 08:09:28",Infinity,MODERATE
6043,"2011-03-22 08:09:29",10.328696476874429,MODERATE
6043,"2011-03-22 08:09:30",10.246206160049127,MODERATE
6043,"2011-03-22 08:09:31",10.3973189178513,HEAVY
6043,"2011-03-22 08:09:32",10.308759164196815,MODERATE
6043,"2011-03-22 08:09:33",9.971417540814826,LIGHT
6043,"2011-03-22 08:09:34",9.8670896093712,HEAVY
6043,"2011-03-22 08:09:35",9.490832791566294,MODERATE
6043,"2011-03-22 08:09:36",9.315845265046457,MODERATE
6043,"2011-03-22 08:09:37",9.079228020753762,MODERATE
6043,"2011-03-22 08:09:38",9.02642430178655,HEAVY
6043,"2011-03-22 08:09:39",9.007444667409635,LIGHT
6043,"2011-03-22 08:09:40",9.140951727736981,HEAVY
6043,"2011-03-22 08:09:41",9.07656301035234,MODERATE
6043,"2011-03-22 08:09:42",8.938324076741432,MODERATE
6043,"2011-03-22 08:09:43",8.730976135526149,MODERATE
6043,"2011-03-22 08:09:44",8.661862460804775,LIGHT
6043,"2011-03-22 08:09:45",8.661862460804775,MODERATE
6043,"2011-03-22 08:09:46",8.858046220287063,LIGHT
6043,"2011-03-22 08:09:49",2.88347858733283,HEAVY
6043,"2011-03-22 08:09:49",Infinity,MODERATE
6043,"2011-03-22 08:09:49",Infinity,MODERATE
6043,"2011-03-22 08:09:50",8.869204652028188,MODERATE
6043,"2011-03-22 08:09:51",9.002633786536133,HEAVY
6043,"2011-03-22 08:09:52",9.076558438999278,LIGHT
6043,"2011-03-22 08:09:53",8.971456782199036,LIGHT
6043,"2011-03-22 08:09:54",9.030056874571981,MODERATE
6043,"2011-03-22 08:09:55",8.902594097733765,MODERATE
6043,"2011-03-22 08:09:56",8.833738174183805,MODERATE
6043,"2011-03-22 08:09:57",8.685374346289386,HEAVY
6043,"2011-03-22 08:09:58",8.547533442064895,HEAVY
6043,"2011-03-22 08:09:59",8.661854496200624,LIGHT
6043,"2011-03-22 08:10:00",8.730968107221303,HEAVY
